"Population Mid-2015"

Location,Location Type,TimeFrame,Data Type,Data,Footnotes
Afghanistan,Country,Mid-2015,Number,"32,247,000",
Albania,Country,Mid-2015,Number,"2,892,000",
Algeria,Country,Mid-2015,Number,"39,948,000",
Andorra,Country,Mid-2015,Number,"78,000",
Angola,Country,Mid-2015,Number,"25,000,000",
Antigua and Barbuda,Country,Mid-2015,Number,"90,000",
Argentina,Country,Mid-2015,Number,"42,426,000",
Armenia,Country,Mid-2015,Number,"3,017,106",
Australia,Country,Mid-2015,Number,"23,888,000",
Austria,Country,Mid-2015,Number,"8,615,955",
Azerbaijan,Country,Mid-2015,Number,"9,651,000",
Bahamas,Country,Mid-2015,Number,"377,000",
Bahrain,Country,Mid-2015,Number,"1,412,299",
Bangladesh,Country,Mid-2015,Number,"160,411,000",
Barbados,Country,Mid-2015,Number,"278,000",
Belarus,Country,Mid-2015,Number,"9,524,247",
Belgium,Country,Mid-2015,Number,"11,211,064",
Belize,Country,Mid-2015,Number,"368,000",
Benin,Country,Mid-2015,Number,"10,583,034",
Bhutan,Country,Mid-2015,Number,"757,000",
Bolivia,Country,Mid-2015,Number,"10,475,500",
Bosnia-Herzegovina,Country,Mid-2015,Number,"3,650,114",
Botswana,Country,Mid-2015,Number,"2,139,900",
Brazil,Country,Mid-2015,Number,"204,519,398",
Brunei,Country,Mid-2015,Number,"413,000",
Bulgaria,Country,Mid-2015,Number,"7,181,000",
Burkina Faso,Country,Mid-2015,Number,"18,450,400",
Burundi,Country,Mid-2015,Number,"10,742,000",
Cambodia,Country,Mid-2015,Number,"15,417,100",
Cameroon,Country,Mid-2015,Number,"23,739,000",
Canada,Country,Mid-2015,Number,"35,833,000",
Cape Verde,Country,Mid-2015,Number,"514,000",
Central African Republic,Country,Mid-2015,Number,"5,551,900",
Chad,Country,Mid-2015,Number,"13,707,000",
Channel Islands,Country,Mid-2015,Number,"164,000",
Chile,Country,Mid-2015,Number,"18,025,000",
China,Country,Mid-2015,Number,"1,371,920,000",
Colombia,Country,Mid-2015,Number,"48,218,000",
Comoros,Country,Mid-2015,Number,"764,000",
Congo,Country,Mid-2015,Number,"4,755,000",
"Congo, Dem. Rep. of",Country,Mid-2015,Number,"73,340,200",
Costa Rica,Country,Mid-2015,Number,"4,832,000",
Cote d'Ivoire,Country,Mid-2015,Number,"23,281,300",
Croatia,Country,Mid-2015,Number,"4,215,000",
Cuba,Country,Mid-2015,Number,"11,139,000",
Curacao,Country,Mid-2015,Number,"158,000",
Cyprus,Country,Mid-2015,Number,"1,153,000",
Czech Republic,Country,Mid-2015,Number,"10,551,227",
Denmark,Country,Mid-2015,Number,"5,676,025",
Djibouti,Country,Mid-2015,Number,"900,000",
Dominica,Country,Mid-2015,Number,"68,000",
Dominican Republic,Country,Mid-2015,Number,"10,508,000",
Ecuador,Country,Mid-2015,Number,"16,279,000",
Egypt,Country,Mid-2015,Number,"89,074,000",
El Salvador,Country,Mid-2015,Number,"6,366,000",
Equatorial Guinea,Country,Mid-2015,Number,"805,000",
Eritrea,Country,Mid-2015,Number,"5,200,000",
Estonia,Country,Mid-2015,Number,"1,310,504",
Ethiopia,Country,Mid-2015,Number,"98,148,000",
Federated States of Micronesia,Country,Mid-2015,Number,"103,000",
Fiji,Country,Mid-2015,Number,"867,000",
Finland,Country,Mid-2015,Number,"5,476,031",
France,Country,Mid-2015,Number,"64,346,720",
French Guiana,Country,Mid-2015,Number,"251,000",
